"Name","l0_norm","l2_loss","afa_coeff","_wandb"
"blocks.7.hook_resid_pre_12288_topk_64_0.0","63.861083984375","0.05872820317745209","0",""
"blocks.7.hook_resid_pre_12288_topk_128_0.0","127.769287109375","0.04476229473948479","0",""
"blocks.7.hook_resid_pre_12288_topk_512_0.0","512","0.009734587743878365","0",""
"blocks.7.hook_resid_pre_12288_batchtopk_64_0.0","64","0.05718942731618881","0",""
"blocks.7.hook_resid_pre_12288_batchtopk_128_0.0","128","0.042660318315029144","0",""
"blocks.7.hook_resid_pre_12288_batchtopk_512_0.0","512","0.00948349665850401","0",""
"blocks.7.hook_resid_pre_12288_topk_32_0.0","31.999267578125","0.07431357353925705","0",""
"blocks.7.hook_resid_pre_12288_topk_256_0.0","255.69775390625","0.02934163436293602","0",""
"blocks.7.hook_resid_pre_12288_topk_1024_0.0","1023.428955078125","0.00018708905554376545","0",""
"blocks.7.hook_resid_pre_12288_topk_2048_0.0","2045.223876953125","0.00021778866357635707","0",""
"blocks.7.hook_resid_pre_12288_topk_4096_0.0","2976.30517578125","0.0002089812624035403","0",""
"blocks.7.hook_resid_pre_12288_topk_8192_0.0","2957.234619140625","0.00018118321895599365","0",""
"blocks.7.hook_resid_pre_12288_batchtopk_32_0.0","32","0.07261241972446442","0",""
"blocks.7.hook_resid_pre_12288_batchtopk_256_0.0","256","0.027001868933439255","0",""
"blocks.7.hook_resid_pre_12288_batchtopk_1024_0.0","1024","0.00019259401597082615","0",""
"blocks.7.hook_resid_pre_12288_topafa_0_0.0078125","1534.462890625","0.004766747821122408","0.0078125",""
"blocks.7.hook_resid_pre_12288_topafa_0_0.015625","1930.104248046875","0.00019532829173840585","0.015625",""
"blocks.7.hook_resid_pre_12288_batchtopk_2048_0.0","2048","0.00018614598957356063","0",""
"blocks.7.hook_resid_pre_12288_batchtopk_4096_0.0","2974.362548828125","0.00020171658252365887","0",""
"blocks.7.hook_resid_pre_12288_batchtopk_8192_0.0","2957.234619140625","0.00018118321895599365","0",""
"blocks.7.hook_resid_pre_12288_topafa_0_0.0625","2383.813720703125","0.0002655358402989805","0.0625",""
"blocks.7.hook_resid_pre_12288_topafa_0_0.041666666666666664","2180.37841796875","0.0002489072212483734","0.041666666666666664",""
"blocks.7.hook_resid_pre_12288_topafa_0_0.03125","2066.923583984375","0.0002327444381080568","0.03125",""